benchmark_id,granularity,method_id,compiler_id,profile_condition,semantic_mode_off,semantic_mode_on,delta_num_semantic_classes,delta_num_intervals_total,delta_comparison_sites,delta_worst_case_depth,delta_expected_depth,delta_accept_predicate_expected_depth,delta_rollbackacc_predicate_expected_depth,delta_throughput_bytes_per_sec
BM1,coarse,B3,gcc_O2,B_to_A,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-1758037.436512977
BM1,coarse,B3,gcc_O3,B_to_A,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-2291755.4110735357
BM1,coarse,B3,gcc_Os,B_to_A,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-3057640.036098242
BM1,coarse,B3,clang_O2,B_to_A,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,600042222222.2227
BM1,coarse,B3,clang_O3,B_to_A,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,0.0
BM1,coarse,B3,clang_Os,B_to_A,coarse,coarse,1,1,1,1,0.4300750557054065,0.0,0.8819338571596105,-1527755.869785905
BM1,coarse,B4,gcc_O2,B_to_A,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,17537200.194660187
BM1,coarse,B4,gcc_O3,B_to_A,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,24807416.679658026
BM1,coarse,B4,gcc_Os,B_to_A,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,12829149.522900045
BM1,coarse,B4,clang_O2,B_to_A,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,534426521523.9971
BM1,coarse,B4,clang_O3,B_to_A,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,0.0
BM1,coarse,B4,clang_Os,B_to_A,coarse,coarse,1,1,1,1,0.08713498299519173,0.0,-0.3511883820022672,10201533.97472775
BM1,coarse,B5_TREE,gcc_O2,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,24974503.534473658
BM1,coarse,B5_TREE,gcc_O3,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,46606690.70422855
BM1,coarse,B5_TREE,gcc_Os,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,22186536.36133033
BM1,coarse,B5_TREE,clang_O2,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,359386424134.8721
BM1,coarse,B5_TREE,clang_O3,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,960541897233.2021
BM1,coarse,B5_TREE,clang_Os,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-32227996.41630447
