benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_source,profile_condition,profile_scenario,eval_source,status,error_message,throughput_bytes_per_sec,avg_semantic_comparisons_per_visited_state
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,A,A_to_B,A_to_B,B,completed,,4687895833333.333,3.5934624903466688
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,A,A_to_B,A_to_B,B,completed,,191892746.98135558,3.5934624903466688
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,A,A_to_B,A_to_B,B,completed,,199346376.2774809,2.349639102224979
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,A,A_to_B,A_to_B,B,completed,,220067266.4378812,2.349639102224979
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,A,A_to_B,A_to_B,B,completed,,201002605.66708028,2.349639102224979
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,A,A_to_B,A_to_B,B,completed,,4500380000000.0,2.349639102224979
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,A,A_to_B,A_to_B,B,completed,,4787638297872.341,2.349639102224979
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,A,A_to_B,A_to_B,B,completed,,191518571.47720695,2.349639102224979
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,B,B_to_A,B_to_A,A,completed,,157749297.9189658,4.04004064240929
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,B,B_to_A,B_to_A,A,completed,,174196478.5111507,4.04004064240929
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,B,B_to_A,B_to_A,A,completed,,154169887.82931513,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,B,B_to_A,B_to_A,A,completed,,5400380000000.0,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,B,B_to_A,B_to_A,A,completed,,5745085106382.9795,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,B,B_to_A,B_to_A,A,completed,,160257699.98902014,4.04004064240929
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,B,B_to_A,B_to_A,A,completed,,171507386.6844683,2.7346393217624363
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,B,B_to_A,B_to_A,A,completed,,202496227.83572263,2.7346393217624363
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,B,B_to_A,B_to_A,A,completed,,169294942.45003957,2.7346393217624363
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,B,B_to_A,B_to_A,A,completed,,5745085106382.9795,2.7346393217624363
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,B,B_to_A,B_to_A,A,completed,,5510591836734.693,2.7346393217624363
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,B,B_to_A,B_to_A,A,completed,,168203230.02228847,2.7346393217624363
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,uniform,uniform,uniform,A,completed,,166387832.60589996,4.04004064240929
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,uniform,uniform,uniform,A,completed,,174234583.26020297,4.04004064240929
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,uniform,uniform,uniform,A,completed,,153724452.93601584,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,uniform,uniform,uniform,A,completed,,5869978260869.565,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,uniform,uniform,uniform,A,completed,,5400380000000.0,4.04004064240929
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,uniform,uniform,uniform,A,completed,,176332259.7413453,4.04004064240929
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,uniform,uniform,uniform,A,completed,,189810961.58496466,2.359099756747311
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,uniform,uniform,uniform,A,completed,,226429128.47691005,2.359099756747311
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,uniform,uniform,uniform,A,completed,,190760898.74558806,2.359099756747311
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,uniform,uniform,uniform,A,completed,,5869978260869.565,2.359099756747311
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,uniform,uniform,uniform,A,completed,,5745085106382.9795,2.359099756747311
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,uniform,uniform,uniform,A,completed,,184040453.33471465,2.359099756747311
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,150393809.11244377,4.607601704388964
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,169297808.37463596,4.607601704388964
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,152014786.05705896,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,6136795454545.455,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5745085106382.9795,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,159150479.1565854,4.607601704388964
